location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20240110T1400,0.9502454,80.35215,5.0142193,68.96249
20240110T1500,0.100245416,87.13257,4.829907,63.43495
20240110T1600,-1.3197546,86.893906,5.692099,55.304832
20240110T1700,-2.1197548,90.47174,6.193674,54.46232
20240110T1800,-2.0697546,90.81773,5.95906,64.98311
20240110T1900,-2.1897545,91.76784,6.6185193,67.61986
20240110T2000,-2.5497546,91.183044,6.6185193,67.61986
20240110T2100,-2.8097544,91.711464,6.6185193,67.61986
20240110T2200,-2.9097548,91.0796,5.6920996,71.56504
20240110T2300,-3.1097546,90.71539,4.3349743,94.76365
20240111T0000,-3.3197546,91.10898,3.4152596,71.56504
20240111T0100,-3.3797545,90.55046,3.8268526,41.18593
20240111T0200,-3.519755,89.16612,4.1046314,52.125
20240111T0300,-3.5397549,88.21562,2.6208394,74.054596
20240111T0400,-3.4497547,86.02789,2.6208394,74.054596
20240111T0500,-4.0097547,87.41808,4.1046314,52.125
20240111T0600,-4.1097546,87.742004,5.3517847,47.726303
20240111T0700,-4.369755,88.59176,6.3690495,47.29059
20240111T0800,-3.8697548,89.12675,6.3690495,47.29059
20240111T0900,-2.4897547,85.04981,4.8965297,36.027374
20240111T1000,-3.6697545,85.14428,4.6102495,51.34018
20240111T1100,-2.1897545,84.70507,5.5887027,75.06858
20240111T1200,-1.4197546,83.10207,5.991594,57.26477
20240111T1300,-0.8197546,82.75533,6.3690495,42.70938
20240111T1400,-0.97975457,83.356255,6.297428,30.963745
20240111T1500,-2.3597546,85.45649,4.896529,17.102722
20240111T1600,-2.8797545,85.77664,7.172949,17.525558
20240111T1700,-4.309755,87.91999,8.699793,24.443954
20240111T1800,-4.1297545,89.16565,7.145796,40.914368
20240111T1900,-5.0697546,90.93498,7.653705,48.81407
20240111T2000,-4.8597546,91.02635,7.8954163,46.847595
20240111T2100,-4.459755,90.09265,6.6087217,60.64225
20240111T2200,-4.559755,89.25407,4.3349743,94.76365
20240111T2300,-4.829755,89.36116,4.896529,107.10272
20240112T0000,-5.1897545,88.97525,4.2136917,109.9831
20240112T0100,-5.309755,88.41118,4.5536795,71.56504
20240112T0200,-5.4897547,88.80216,5.2416787,74.054596
20240112T0300,-5.559755,89.90368,5.6920996,71.56504
20240112T0400,-5.639755,89.5465,5.6920996,71.56504
20240112T0500,-6.1097546,90.263626,5.0528407,85.91438
20240112T0600,-6.4697547,90.436066,4.73506,98.74616
20240112T0700,-6.389755,90.79842,5.0528407,85.91438
20240112T0800,-5.209755,90.43026,4.68,89.99999
20240112T0900,-3.5397549,85.68674,3.319036,77.47118
20240112T1000,-2.9297547,80.800255,3.4152596,71.56504
20240112T1100,-3.6797547,86.459854,3.2599385,83.65981
20240112T1200,-2.6397548,83.67865,3.6,53.130096
20240112T1300,-2.0997548,82.87261,4.6938257,32.47119
20240112T1400,-2.2197547,83.23325,3.8773184,21.801407
20240112T1500,-2.8197546,84.22872,4.6938252,4.398697
20240112T1600,-3.8997545,88.03751,6.5693827,9.462311
20240112T1700,-4.289755,91.01352,5.95906,25.016876
20240112T1800,-3.769755,90.92613,5.0911684,44.999985
20240112T1900,-4.3997545,92.54983,5.692099,55.304832
20240112T2000,-4.6097546,92.176994,5.315336,61.699234
20240112T2100,-4.3397546,91.70865,4.896529,72.89727
20240112T2200,-5.1997547,92.193695,3.2599385,96.34019
20240112T2300,-5.5697546,93.09043,4.39436,124.99202
20240113T0000,-5.289755,92.54173,4.1046314,127.874985
20240113T0100,-4.6597548,91.186516,3.0547013,135.0
20240113T0200,-4.7597547,90.33835,2.0364676,135.0
20240113T0300,-4.849755,89.35889,3.0547013,135.0
20240113T0400,-5.1697545,89.3917,3.6,143.1301
20240113T0500,-5.7197547,91.93139,4.39436,145.00798
20240113T0600,-6.119755,93.47709,4.198285,149.03624
20240113T0700,-6.039755,93.628914,3.7064266,150.94539
20240113T0800,-7.249755,94.632065,3.8773184,158.1986
20240113T0900,-7.269755,93.67189,4.510787,151.38954
20240113T1000,-5.0697546,90.93498,3.6179552,174.28941
20240113T1100,-3.9197545,86.49453,4.32,180.0
20240113T1200,-2.9497547,83.31285,4.2136917,199.98311
20240113T1300,-2.4497547,83.071556,5.154415,204.77515
20240113T1400,-2.0897546,80.387764,5.154415,204.77515
20240113T1500,-1.8897547,79.38657,4.802999,192.99461
20240113T1600,-1.9797546,81.57829,5.3999996,180.0
20240113T1700,-3.769755,87.9858,5.4477882,172.40535
20240113T1800,-4.709755,91.603096,5.8048253,172.87498
20240113T1900,-4.709755,91.603096,6.87779,173.991
20240113T2000,-4.749755,91.037415,6.924738,171.02737
